---------- Begin SLURM Prolog ----------
Job ID:        7313753
Username:      sportega
Accountname:   lc_an2
Name:          c
Partition:     main
Nodelist:      hpc3888
TasksPerNode:  16
CPUsPerTask:   Default[1]
TMPDIR:        /tmp/7313753.main
SCRATCHDIR:    /staging/scratch/7313753
Cluster:       uschpc
HSDA Account:  false
---------- 2020-05-12 05:34:40 ---------
LAMMPS (7 Aug 2019)
OMP_NUM_THREADS environment is not set. Defaulting to 1 thread. (../comm.cpp:93)
  using 1 OpenMP thread(s) per MPI task
using multi-threaded neighbor list subroutines
Reading restart file ...
  restart file = 7 Aug 2019, LAMMPS = 7 Aug 2019
  restoring atom style full from restart
  orthogonal box = (0 0 0) to (150 150 288.378)
  1 by 1 by 16 MPI processor grid
  restoring pair style lj/cut/tip4p/long from restart
  restoring bond style harmonic from restart
  restoring angle style harmonic from restart
  5084 atoms
  976 bonds
  488 angles
Finding 1-2 1-3 1-4 neighbors ...
  special bond factors lj:   0          0          0         
  special bond factors coul: 0          0          0         
  2 = max # of 1-2 neighbors
  1 = max # of 1-3 neighbors
  1 = max # of 1-4 neighbors
  2 = max # of special neighbors
  special bonds CPU = 0.000956059 secs
  read_restart CPU = 0.057318 secs
1464 atoms in group 5Water_atoms
3620 atoms in group 6CNT_atoms
976 atoms in group 8Hydrogen
488 atoms in group 7Oxygen
Finding SHAKE clusters ...
  0 = # of size 2 clusters
  0 = # of size 3 clusters
  0 = # of size 4 clusters
  488 = # of frozen angles
  find clusters CPU = 0.000634909 secs
PPPM initialization ...
  extracting TIP4P info from pair style
  using 12-bit tables for long-range coulomb (../kspace.cpp:323)
  G vector (1/distance) = 0.243104
  grid = 64 64 108
  stencil order = 5
  estimated absolute RMS force accuracy = 0.00402049
  estimated relative force accuracy = 1.21076e-05
  using double precision KISS FFT
  3d grid and FFT values/proc = 61893 28672
No /omp style for force computation currently active
Neighbor list info ...
  update every 1 steps, delay 10 steps, check yes
  max neighbors/atom: 2000, page size: 100000
  master list distance cutoff = 12.3154
  ghost atom cutoff = 12.3154
  binsize = 6.1577, bins = 25 25 47
  1 neighbor lists, perpetual/occasional/extra = 1 0 0
  (1) pair lj/cut/tip4p/long, perpetual
      attributes: half, newton on, omp
      pair build: half/bin/newton/omp
      stencil: half/bin/3d/newton
      bin: standard
Setting up Verlet run ...
  Unit style    : real
  Current step  : 3000000
  Time step     : 1
Per MPI rank memory allocation (min/avg/max) = 17.19 | 17.65 | 17.93 Mbytes
PotEng KinEng TotEng c_ke_H2O c_ke_CNT c_pe_sumH2O c_pe_sumCNT Temp c_temwater c_temcnt Press Pxx Pzz E_coul E_long Step 
  -5867.6667    788.66655   -5079.0002    788.66655            0   -5377.0465   -490.62024    57.580258    271.36542            0    59.069774    77.725844    21.978598    34432.238   -41265.066  3116000 
  -5866.9923    799.12612   -5067.8662    799.12612            0   -5377.4576   -489.53471    58.343907    274.96436            0    58.936532    77.331463    21.845869    34430.398    -41265.33  3118000 
  -5902.4023    776.70591   -5125.6964    776.70591            0   -5409.2601    -493.1422    56.707016    267.24999            0      59.4089    78.976992    22.948261    34368.453   -41264.431  3120000 
  -5864.9782    744.57022    -5120.408    744.57022            0   -5381.7538   -483.22443    54.360801     256.1927            0    58.238693    76.936356    21.692406    34468.958   -41264.903  3122000 
  -5848.8887    810.87649   -5038.0122    810.87649            0   -5361.5725   -487.31622    59.201797    279.00744            0    60.853138    74.488725    26.713613    34403.735   -41265.381  3124000 
  -5898.5385    801.80931   -5096.7292    801.80931            0   -5412.0537   -486.48483    58.539806     275.8876            0    59.310986    78.899867    23.750295    34397.326   -41265.084  3126000 
  -5870.6458    784.15945   -5086.4863    784.15945            0   -5384.4901   -486.15567    57.251196    269.81461            0    59.960399    76.930233    25.147808    34401.925   -41264.564  3128000 
  -5886.3686    815.56596   -5070.8026    815.56596            0   -5386.1126   -500.25601    59.544174      280.621            0    59.500993    78.271169    24.366718    34387.173   -41264.674  3130000 
  -5873.0192     789.1541   -5083.8651     789.1541            0   -5372.7842   -500.23509    57.615853    271.53318            0    57.806604    73.500838    24.725491    34454.214   -41263.298  3132000 
  -5884.7978    786.80129   -5097.9965    786.80129            0   -5397.2852   -487.51258    57.444076    270.72362            0    58.150232    73.530015    22.842819    34441.556   -41266.611  3134000 
  -5887.1262    788.86861   -5098.2576    788.86861            0   -5393.6289   -493.49733     57.59501    271.43495            0    59.887575    80.842824    23.900933     34384.12   -41265.221  3136000 
  -5888.3446    778.95271   -5109.3919    778.95271            0    -5392.734   -495.61066    56.871053    268.02307            0    58.583965     75.71966    22.998205    34405.988   -41266.877  3138000 
  -5866.1555    781.66287   -5084.4926    781.66287            0   -5379.8881   -486.26743    57.068922    268.95559            0    58.928068    75.416493    25.235276    34445.053   -41264.255  3140000 
  -5870.7947    774.33678    -5096.458    774.33678            0   -5382.0881   -488.70666    56.534046    266.43481            0    59.077544    74.885708    24.673162     34431.28   -41262.309  3142000 
  -5863.9567    811.05749   -5052.8992    811.05749            0   -5372.0215   -491.93522    59.215012    279.06972            0    59.309566    76.112912    26.151279    34434.524   -41266.028  3144000 
  -5901.3638    746.55121   -5154.8126    746.55121            0   -5415.5324   -485.83135    54.505432    256.87432            0    59.474786    78.226811    22.236155    34361.202   -41266.633  3146000 
  -5887.9579    801.94164   -5086.0163    801.94164            0    -5397.983   -489.97495    58.549467    275.93313            0    57.519904      74.9912    21.821275    34456.915   -41264.454  3148000 
   -5871.129    766.49656   -5104.6325    766.49656            0   -5388.0877   -483.04129    55.961635    263.73714            0     58.98638    74.473024    25.271553    34431.118   -41264.101  3150000 
  -5851.5902    748.01098   -5103.5792    748.01098            0    -5359.489   -492.10119    54.612009     257.3766            0    59.226219    75.457001    26.146273    34443.762   -41263.638  3152000 
  -5884.3265    752.05796   -5132.2685    752.05796            0   -5390.6441   -493.68237    54.907478    258.76909            0    57.983695    76.426129    22.591391    34444.071   -41264.639  3154000 
  -5876.1462    811.82545   -5064.3207    811.82545            0   -5385.9088    -490.2374    59.271081    279.33396            0    57.782149    74.191388    23.826114    34471.292   -41262.529  3156000 
  -5838.3261    752.77819   -5085.5479    752.77819            0   -5362.4312   -475.89492    54.960062    259.01691            0    59.145307    75.978891    25.507119    34479.583   -41264.748  3158000 
  -5890.3237    793.60679    -5096.717    793.60679            0   -5398.2347   -492.08904    57.940943    273.06526            0    59.835004    78.051405    27.025923    34378.621   -41264.072  3160000 
  -5899.7794    795.95989   -5103.8195    795.95989            0   -5405.1188   -494.66063    58.112742    273.87492            0    58.832525    76.497351    26.369162    34398.798   -41264.532  3162000 
   -5867.016    801.94487   -5065.0711    801.94487            0    -5390.116   -476.89997    58.549703    275.93424            0    58.190421    74.299687    23.298729    34472.265   -41265.281  3164000 
  -5861.3911    796.97233   -5064.4188    796.97233            0   -5365.7776    -495.6135    58.186659    274.22328            0    58.350949    76.090838     25.46854    34480.877   -41266.468  3166000 
  -5863.9846    802.74043   -5061.2442    802.74043            0   -5371.1895    -492.7951    58.607787    276.20798            0    60.183898    79.445341     23.77955    34403.999   -41264.604  3168000 
   -5845.718    804.41071   -5041.3073    804.41071            0   -5358.6907   -487.02737    58.729733    276.78269            0    62.283267    79.716433    28.626905    34374.701   -41265.972  3170000 
